el,en
divert,παρεκτρέπω
divide,χωρίζω
dividend,μέρισμα
divination,μαντοσύνη
divine,θεσπέσιος
divine madness,ενθεή αλλοφροσύνη
divine retribution,θεία δίκη
diving,κατάδυση
diving board,εξέδρα καταδύσεων
diving header,ψαράκι
division,διαίρεση
divorce,διαζύγιο
divorced,διζευγμένος
divorce rate,αριθμός διαζυγίων
dizziness,ζαλάδα
dizzy,ζαλισμένος
do,κάνω
do a crossword,λύνω σταυρόλεξο
do a favour,κάνω μια χάρη
do away with,καταργώ
do business,κάνω δουλειές
docile,πειθήνιος
dock,λάπαθο
docked,κολοβός
dockyard,νεώριο
Doc Martins,αρβύλες
do credit,αποδίδω τιμές
doctor,ιατρός
document,έγγραφο
documentary,ντοκιμαντέρ
do damage,βλάπτω
dodge,αποφεύγω
dodgem cars,τα συγκρουόμενα αυτοκινητάκια
doff,εκδύομαι
dog,σκύλος
dog cart,αμαξάκι
dog days,θερινός καύσωνας
dog food,φαγητό για σκύλους
dogue,δογής
do harm,βλάπτω
doing,κάμωμα
do justice,χειρίζομαι δίκαια
do justice to,δικαιώνω
doleful,θλιβερός
doll,κούκλα
dollar,δολάριο
dolphin,δελφίνι
dolphinfish,κυνηγός
domain,κτήση
dome,αψίδα
do me a favour,κάνε μου μία χάρη
domestic,κατοικίδιος
domesticate,εξημερώνω
domesticated,εξημερωμένος
domestication,εξημέρωση
domestic flights,εσωτερικές πτήσεις
domestic staff,οικιακοί βοηθοί
domestic violence,βία στο σπίτι
dominant,επικρατών
dominate,δεσπόζω
domination,κυριάρχια
domineer,δεσπόζω
domineering,τυραννικός
dominion,κυριαρχία
do miracles,κάνω θαύματα
don't,μην
don't come the high and mighty,μη μου κάνεις εμένα τον κάργα
don't jostle,μην συνωστίζεστε
don't laugh,μην γελάτε
don't push yourself,μην το παρακάνεις
don't worry about,μην ανησυχείτε για
donation,δωρεά
done,γινωμένος
donkey,γάϊδουρος
donor,δότης
doom,ειμαρμένη
doomed,καταδικασμένος
do one's best,κάνω ό τι καλύτερο μπορώ
door,πόρτα
doorbell,κουδούνι
doormat,χαλάκι
door to door salesman,πλασιέ
do out,ανακαινίζω
do out of,κλέβω δια απάτης
dope,ντοπάρω
dopey,βλαμμένος
do research,κάνω έρευνα
dormant,σε λανθάνουσα κατάσταση
dormitory,κοιτώνας
dose,δοσολογία
do somebody a good turn,κάνω καλό σε κάποιο
dossier,φάκελος
dot,κουκίδα
dotage,ραμολιμέντο
dotard,ραμολιμέντο
do the best one can,κάνω ό τι καλύτερο μπορώ
do the donkey work,κάνω τις αγγαρείες
do the honours,παίζω ρόλο οικοδεσπότη
do the ironing,σιδερώνω
do the sights,βλεπω τα αξιοθέατα
do the trick,πετυχαίνω
do the washing,πλένω τα ρούχα
do the washing up,πλένω τα πιάτα
dotterel,βουνοσφυριχτής
double,δίττος
double act,παράσταση για δύο
double-barrelled shotgun,δίκανο
double blind test,διπλή-τυφλή δοκιμασία
double crossing,μπαμπεσιά
double decker,δίπατος
double-decker,διώροφο λεωφορείο
doubled-glazed windows,παράθυρα με διπλά τζάμια
double-faced,αλλοπρόσαλλος
double vision,διπλωπία
doubling,διπλασιασμός
doubly,διπλά
doubt,αμφιβάλλω
doubtful,αμφίβολος
doubtless,αναμφίβολος
dough,ζύμη
do up,επισκευάζω
dove,περιστέρι
dowdy,άκομψος
do wheelies,κάνω σούζες
do with,χρειάζομαι
do without,κάνω χωρίς
down,ίουλος
down and out,απένταρος
down at heel,κουρελής
downcast,κατσούφης
down graded,έκπτωση από το βαθμό
downgrading,υποβιβασμός
downpour,νεροποντή
downstairs,στο κάτω όροφο
downswing,κατιούσα
down the hatch,άσπρο πάτο
downwards,προς το κάτω
downward trend,πτωτική τάση
do wonders,κάνω θαύματα
do wonders for,κάνω θαύματα
dozen,δωδεκάδα
doze off,αποκοιμάμαι
draft,ρεύμα αέρος
drag,σέρνω
dragging,που σέρνεται
drag my feet,σέρνω με τα πόδια
dragon,δράκος
drag on,συνεχίζομαι ατελείωτα
drain,οχετός
drain holes,βοηθητικά πηγάδια
draining,αποστραγγίζω
drake,αρσενική πάπια
drama,δράμα
dramatic,δραματικός
dramatically,δραματικά
dramatist,δραματουργός
drape,τυλίγω
drastic,δραστικός
drastically,δραστικά
draught,το πούλι
draughts,ντάμα
draughty,φυσάει
draw,ζωγραφίζω
draw a blank,κάνω μία τρύπα στο νερό
draw attention to,εφιστώ την προσοχή
draw a violent response,προκαλώ μια βιαία αντίδραση
drawback,μειονέκτημα
drawer,συρτάρι
drawing,ζωγραφιά
drawing-room,γραφείο
draw lots,τραβώ κλήρους
drawn by α horse,τραβηγμένος από
draw near,εγγίζω
draw on,χρησιμοποιώμ αντλώ
draw out,κάνω ανάληψη
draw the line,βάζω ένα όριο
draw up,σταματώ
draw up a chair,φέρε την καρέκλα σού κοντά
draw up at the traffic lights,σταματώ στα φανάρια
draw water,αντλώ νερό
dream,ονειρεύομαι
dreary,ζοφερός
drench,βρέχω
drenched,μούσεκμα
dress,φόρεμα
dress a wound,δένω μία πληγή
dressed,ντυμένος
dressing,δέσιμο
dressing gown,ρόμπα
dressing table,τουαλέτα
dressmaker,μοδίστρα
dress rehearsal,πρόβα τζενεράλε
dress the part,ντύνομαι κατάλληλα
dress up,μεταμφιέζομαι
dressy,λουσάτος
drew,τράβηξα
dribble,ντριμπλάρω
dried mackerel,τσίρος
drift,παρασύρομαι
driftwood,επιλέοντα ξύλα
drill,άσκηση
drill bit,μύτη τρυπανιού
drillship,πλοίο γεωτρήσεως
drill string,διατρητική στήλη
drink,ποτό
drinking,πόσιμο
drink to,πίνω στην υγεία
drink to the health,κάνω σε υγεία με
drip,σταλάζω
dripping,που στάζει
drive,οδηγώ
drive a car,οδηγώ αυτοκίνητο
drive away,διώκω
drive in,μπήγω
drive into,τρακάρω
drivel,μωρολογώ
drive mad,κουζουλαίνω
driven in,μπηχτός
drive out,εκδιώκω
driver,οδηγός
drive round the twist,κουζουλαίνω
driving,οδήγηση
driving condition,συνθήκες οοδήγησης
driving licence,άδεια οδήγησης
drizzle,ψιλοβρέχω
drizzly,με ψιλόβροχο
dromedary,δρομάς
drone,κηφήνας
drop,μου πέφτει
drop a hint,υπαινίσσομαι
drop anchor,ρίχνω την άγκυρα
drop by,περνώ από
drop in,πετάγομαι να δω κάποιο
droplet,σταγονίτσα
drop off,αποκοιμάμαι
drop out,τελειώνω το σχολείο πρόωρα
droppings,περιττώματα
drops,σταγόνες
drought,ξηρασία
droves,πλήθη κόσμου
drown,πνίγομαι
drowning,πνιγμός
drown out,σκεπάζω
drowsiness,νύστα
drowsy,μαχμουρλής
drubbing,διασυρμός
drudgery,αγγαρεία
drug,ναρκωτικό
drug abuse,κατάχρηση ναρκωτικών
drugs,ναρκωτικά
drugstore,φαρμακείο
drug trafficking,εμπόριο ναρκωτικών
drum,ταμπούρλo
drummer,ντραμίστας
drumstick,τουμπανόξυλο
drunk,μεθυσμένος
drunkard,μεθύστακας
drunk driver,μεθυσμένος οδηγός
drunken,μεθυσμένος
dry,ξηρός
drydock,δεξαμενίζω
drying,στέγνωμα
dry rot,ερυθρά σήψη του ξύλου
dry up,τελείωνω
dual,διπλός
dub,μεταγλωττίζω
Dublin Bay prawn,καραβίδα
duchess,δούκισσα
duchy,δουκάτο
duck,σκύβω
ductibility,ελατότητα
dude,άνθρωπος
due,πρέπων
duel,μονομαχία
due respect,ο προσήκων σεβασμός
duet,ντουέτο
due to,εξ αιτίας
duke,δούκας
dull,πληκτικός
duly,δεόντως
dumb,μουγγός
dummy,πιπίλα
dump,πετώ
dun,σκούροο γκρι
dunce,κούτσουρο
dune,αμμόλοφος
dung,καβαλλίνα
dungarees,φόρμα από τζίν
dungeon,μπουντρούμι
dunlin,λασποσκαλίδρα
dunnock,θαμνοψάλτης
duplex,διώροφη κατοικία
duplicate,εις διπλούν
duration,διάρκεια
during,κατά την διάρκεια
dusk,σουρούπωμα
dusky,μουχρός
dusky grouper,ροφός
dust,σκόνη
dustbin,σκουπιδοτενεκές
duster,ξεσκονόπανο
dust jacket,κουβερτούρα
dustman,σκουπιδιάρης
dustpan,φαράσι
dust respirator,απορροφητής κόνεως
dusty,θαμπός
Dutch,Ολλανδέζικος
duties,καθήκοντα
duty,καθήκον
duty bound to,υποχρεωμένος
duty free,αφορολόγητα
duty-free,αφορολόγητος
duvet,πάπλωμα
dwarf,νάνος
dwarves,νάνοι
dwell,διαμένω
dwindle,συρρικνώνομαι
dwindling,φθίνουσα
dye,βάφω
dyed eggs,βαμένα αυγά
dying,που πεθαίνει
dynamic,δυναμική
dynamite,δυναμίτης
dynamo,δυναμό
dynasty,δυναστεία
dysentry,δυσεντερία
each,κάθε
each other,ο ένας τον άλλο
eager,πρόθυμος
eagerly,με ενθουσιασμό
eagerness,προθυμία
eager to,πρόθυμος να
eagle,αετός
ear,αυτί
eardrum,τύμπανο
ear lobe,λοβός αυτιού
early,πρώιμος
early elections,πρόωρες εκλογές
early retirement,πρώιμη συνταξιοδότηση
earn,κερδίζω
earnings,αποδοχές
earn interest,κερδίζω τόκο
earn one's living,κερδίζω τα προς το ζην
earphones,ακουστικά
earring,σκουλαρίκι
earth,γη
earthly,γήινος
earthquake,σεισμός
earwig,ωτοσκώληκας
ease,καταπραΰνω
easel,καβαλέτο ζωγράφου
easily,εύκολα
easily flustered,που εκνευρίζεται εύκολα
East,Ανατολή
east,ανατολή
eastbound,με ανατολική κατεύθυνση
east-bound,κατευθυνόμενος ανατολικά
Easter,Πάσχα
eastern,ανατολικός
easy,άνετος
easy going,ξέγνοιαστος
easy-going,ανέμελος
eat,τρώω
eat a bellyful,τρώω το περίδρομο
eat like a pig,τρώω άπληστα
eat one's heart out,σαρακιάζω
eat out,τρώω έξω
eaves,μαρκίζα
eavesdrop,ωτακουστώ
eavesdropper,ωτακουστής
ebb,άμπωτη
ebb tide,φυρονεριά
ebony,εβένινος
eccentric,εκκεντρικός
ecclesiatical,εκκλησιαστικός
echelon,κλιμάκιο
echo,αντιλαλώ
eclectic,εκλεκτικός
ecliptic,εκλειπτική
